video,duration_sec,processed_frames,blinks,blink_rate_per_sec,face_height_cm,face_width_cm,left_eye_width_cm,left_eye_height_cm,right_eye_width_cm,right_eye_height_cm,nose_length_cm,nose_width_cm,mouth_width_cm,mouth_height_cm,iris_px
Videos/GX010680.MP4,1.13,6,0,0.000000,15.442,13.290,2.470,0.944,2.667,0.937,4.328,2.935,4.383,2.134,30.79
Videos/GX010681.MP4,150.28,751,4,0.026616,14.932,12.803,2.490,0.748,2.592,0.705,4.315,3.178,4.370,1.839,41.38
Videos/GX010682.MP4,151.82,759,11,0.072455,14.870,12.853,2.463,0.726,2.610,0.702,4.375,3.276,4.405,1.989,41.25
Videos/GX010683.MP4,154.65,773,15,0.096990,15.006,13.073,2.545,0.698,2.581,0.675,4.298,3.257,4.476,1.977,41.36
Videos/GX010684.MP4,245.25,1225,29,0.118249,15.364,13.390,2.634,0.775,2.692,0.751,4.581,3.368,4.453,2.139,41.46
Videos/GX010685.MP4,187.65,938,18,0.095921,15.228,13.127,2.632,0.760,2.590,0.717,4.441,3.210,4.279,2.097,41.62
Videos/GX010686.MP4,277.71,1388,21,0.075618,15.274,13.458,2.676,0.756,2.646,0.720,4.517,3.265,4.330,1.946,40.86
Videos/GX010687.MP4,185.95,929,35,0.188220,15.181,13.088,2.554,0.717,2.684,0.702,4.443,3.367,4.569,2.064,44.32
Videos/GX010688.MP4,136.64,683,13,0.095143,15.018,12.857,2.554,0.719,2.594,0.684,4.432,3.298,4.340,1.893,46.51
Videos/GX010689.MP4,162.60,813,19,0.116854,14.933,12.890,2.546,0.725,2.571,0.719,4.357,3.256,4.456,1.959,44.87
Videos/GX010690.MP4,188.09,940,2,0.010633,14.914,12.943,2.578,0.829,2.613,0.791,4.468,3.277,4.301,1.933,42.67
Videos/GX010691.MP4,126.09,630,8,0.063445,14.670,12.862,2.523,0.707,2.596,0.679,4.319,3.316,4.403,1.757,44.15
Videos/GX010692.MP4,238.14,1190,6,0.025195,14.569,13.013,2.548,0.735,2.594,0.701,4.257,3.277,4.473,1.888,42.67
Videos/GX010693.MP4,179.85,899,13,0.072284,15.049,12.970,2.598,0.801,2.600,0.800,4.485,3.279,4.338,1.936,41.99
Videos/GX010694.MP4,164.13,820,23,0.140132,14.841,12.975,2.663,0.750,2.575,0.726,4.387,3.232,4.346,1.949,44.38
Videos/GX010695.MP4,300.90,1503,38,0.126288,14.945,13.041,2.625,0.772,2.652,0.753,4.365,3.288,4.386,2.013,43.42
Videos/GX010696.MP4,144.58,723,21,0.145251,14.902,12.969,2.573,0.782,2.673,0.762,4.487,3.380,4.557,1.964,46.04
Videos/GX010697.MP4,143.44,717,20,0.139428,14.546,12.863,2.548,0.734,2.632,0.718,4.410,3.373,4.475,1.887,46.52
Videos/GX010698.MP4,236.60,1182,17,0.071850,14.668,12.838,2.557,0.780,2.619,0.769,4.420,3.336,4.511,1.878,44.13
Videos/GX010699.MP4,229.03,1144,13,0.056761,14.676,12.801,2.553,0.785,2.617,0.779,4.353,3.249,4.383,1.984,41.49
Videos/GX010700.MP4,382.68,1912,21,0.054876,14.755,12.901,2.561,0.809,2.648,0.809,4.423,3.272,4.344,1.995,40.82
Videos/GX010701.MP4,433.80,2167,37,0.085293,14.957,13.079,2.567,0.780,2.666,0.758,4.414,3.306,4.498,1.976,39.60
Videos/GX010702.MP4,1.63,9,0,0.000000,14.797,12.833,2.662,0.913,2.478,0.886,4.111,3.071,4.394,2.380,43.86
Videos/GX010703.MP4,359.76,1797,42,0.116745,15.359,13.639,2.619,0.813,2.665,0.806,4.437,3.338,4.637,1.947,32.51
Videos/GX010704.MP4,228.86,1144,21,0.091758,15.147,13.367,2.581,0.788,2.756,0.743,4.502,3.484,4.819,2.038,40.48
<aggregate of 25 files>,5011.27,25042,447,0.089199,14.933,12.970,2.561,0.772,2.617,0.743,4.414,3.277,4.403,1.964,41.99
